ID,Name,Type,Date / Period,Location,Created By / Associated With,Detailed Historical Background,Additional Notes / Facts,Museum / Location,Discovered or Created by,Image_URL
521,Gold leaf funerary mask (non-Tutankhamun example),Artifact / Object,New Kingdom (c. 1550–1069 BC),,,"Gold leaf funerary mask (non-Tutankhamun example) is an important example of New Kingdom (c. 1550–1069 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Gold leaf funerary mask (non-Tutankhamun example). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Nubian Museum (Aswan),Craftsmen and workshops associated with the New Kingdom (c. 1550–1069 BC),
522,Amulet assemblage from New Kingdom burials,Artifact / Object,Old Kingdom (c. 2686–2181 BC),,,"Amulet assemblage from New Kingdom burials is an important example of Old Kingdom (c. 2686–2181 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Amulet assemblage from New Kingdom burials. Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Saqqara Museum (Saqqara),Craftsmen and workshops associated with the Old Kingdom (c. 2686–2181 BC),
523,Shabti box and Ushabti figures (royal set),Artifact / Object,Middle Kingdom (c. 2055–1650 BC),,,"Shabti box and Ushabti figures (royal set) is an important example of Middle Kingdom (c. 2055–1650 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Shabti box and Ushabti figures (royal set). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Cairo Museum of Antiquities (legacy collections),Craftsmen and workshops associated with the Middle Kingdom (c. 2055–1650 BC),
524,Statue of Hatshepsut (red granite fragment),Artifact / Object,Predynastic period (c. 6000–3100 BC),,,"Statue of Hatshepsut (red granite fragment) is an important example of Predynastic period (c. 6000–3100 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Statue of Hatshepsut (red granite fragment). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Saqqara Museum (Saqqara),Craftsmen and workshops associated with the Predynastic period (c. 6000–3100 BC),
525,Colossal head of Amenhotep III (stone fragment),Artifact / Object,Middle Kingdom (c. 2055–1650 BC),,,"Colossal head of Amenhotep III (stone fragment) is an important example of Middle Kingdom (c. 2055–1650 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Colossal head of Amenhotep III (stone fragment). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,"Grand Egyptian Museum (GEM, Giza)",Craftsmen and workshops associated with the Middle Kingdom (c. 2055–1650 BC),
526,Statuette of Akhenaten (limestone and painted),Artifact / Object,Middle Kingdom (c. 2055–1650 BC),,,"Statuette of Akhenaten (limestone and painted) is an important example of Middle Kingdom (c. 2055–1650 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Statuette of Akhenaten (limestone and painted). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Alexandria National Museum (Alexandria),Craftsmen and workshops associated with the Middle Kingdom (c. 2055–1650 BC),
527,Relief panel from Amarna workshop (Akhenaten era),Artifact / Object,Predynastic period (c. 6000–3100 BC),,,"Relief panel from Amarna workshop (Akhenaten era) is an important example of Predynastic period (c. 6000–3100 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Relief panel from Amarna workshop (Akhenaten era). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,"Egyptian Museum (Tahrir, Cairo)",Craftsmen and workshops associated with the Predynastic period (c. 6000–3100 BC),
528,Amarna-era Aten disk relief fragments,Artifact / Object,Middle Kingdom (c. 2055–1650 BC),,,"Amarna-era Aten disk relief fragments is an important example of Middle Kingdom (c. 2055–1650 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Amarna-era Aten disk relief fragments. Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,"Aswan Museum (Elephantine Island, Aswan)",Craftsmen and workshops associated with the Middle Kingdom (c. 2055–1650 BC),
529,Boundary stelae fragments from Akhetaten,Artifact / Object,Predynastic period (c. 6000–3100 BC),,,"Boundary stelae fragments from Akhetaten is an important example of Predynastic period (c. 6000–3100 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Boundary stelae fragments from Akhetaten. Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Cairo Museum of Antiquities (legacy collections),Craftsmen and workshops associated with the Predynastic period (c. 6000–3100 BC),
530,Chest of weighted scales (funerary equipment),Artifact / Object,Middle Kingdom (c. 2055–1650 BC),,,"Chest of weighted scales (funerary equipment) is an important example of Middle Kingdom (c. 2055–1650 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Chest of weighted scales (funerary equipment). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Luxor Museum (Luxor),Craftsmen and workshops associated with the Middle Kingdom (c. 2055–1650 BC),
531,Bronze mirror with handle and inlay,Artifact / Object,Middle Kingdom (c. 2055–1650 BC),,,"Bronze mirror with handle and inlay is an important example of Middle Kingdom (c. 2055–1650 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Bronze mirror with handle and inlay. Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Minya Museum (Minya),Craftsmen and workshops associated with the Middle Kingdom (c. 2055–1650 BC),
532,Bronze axe-head from Predynastic context,Artifact / Object,Predynastic period (c. 6000–3100 BC),,,"Bronze axe-head from Predynastic context is an important example of Predynastic period (c. 6000–3100 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Bronze axe-head from Predynastic context. Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Alexandria National Museum (Alexandria),Craftsmen and workshops associated with the Predynastic period (c. 6000–3100 BC),
533,Faience scarab collection (royal names),Artifact / Object,Middle Kingdom (c. 2055–1650 BC),,,"Faience scarab collection (royal names) is an important example of Middle Kingdom (c. 2055–1650 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Faience scarab collection (royal names). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Saqqara Museum (Saqqara),Craftsmen and workshops associated with the Middle Kingdom (c. 2055–1650 BC),
534,Faience ushabti of a noble official,Artifact / Object,Predynastic period (c. 6000–3100 BC),,,"Faience ushabti of a noble official is an important example of Predynastic period (c. 6000–3100 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Faience ushabti of a noble official. Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,"Grand Egyptian Museum (GEM, Giza)",Craftsmen and workshops associated with the Predynastic period (c. 6000–3100 BC),
535,Stone sarcophagus lid with painted scenes,Artifact / Object,Old Kingdom (c. 2686–2181 BC),,,"Stone sarcophagus lid with painted scenes is an important example of Old Kingdom (c. 2686–2181 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Stone sarcophagus lid with painted scenes. Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Luxor Museum (Luxor),Craftsmen and workshops associated with the Old Kingdom (c. 2686–2181 BC),
536,Canopic chest of a high official (stone),Artifact / Object,Predynastic period (c. 6000–3100 BC),,,"Canopic chest of a high official (stone) is an important example of Predynastic period (c. 6000–3100 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Canopic chest of a high official (stone). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,"National Museum of Egyptian Civilization (NMEC, Fustat)",Craftsmen and workshops associated with the Predynastic period (c. 6000–3100 BC),
537,Funerary papyrus fragment (Book of the Dead excerpt),Artifact / Object,Predynastic period (c. 6000–3100 BC),,,"Funerary papyrus fragment (Book of the Dead excerpt) is an important example of Predynastic period (c. 6000–3100 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Funerary papyrus fragment (Book of the Dead excerpt). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Saqqara Museum (Saqqara),Craftsmen and workshops associated with the Predynastic period (c. 6000–3100 BC),
538,Papyrus with administrative records (New Kingdom),Artifact / Object,New Kingdom (c. 1550–1069 BC),,,"Papyrus with administrative records (New Kingdom) is an important example of New Kingdom (c. 1550–1069 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Papyrus with administrative records (New Kingdom). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,"Egyptian Museum (Tahrir, Cairo)",Craftsmen and workshops associated with the New Kingdom (c. 1550–1069 BC),
539,Stela of an Old Kingdom official with offering formula,Artifact / Object,Late Period (c. 664–332 BC),,,"Stela of an Old Kingdom official with offering formula is an important example of Late Period (c. 664–332 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Stela of an Old Kingdom official with offering formula. Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Alexandria National Museum (Alexandria),Craftsmen and workshops associated with the Late Period (c. 664–332 BC),
540,"Senet game board (wooden, painted)",Artifact / Object,Old Kingdom (c. 2686–2181 BC),,,"Senet game board (wooden, painted) is an important example of Old Kingdom (c. 2686–2181 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Senet game board (wooden, painted). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,"National Museum of Egyptian Civilization (NMEC, Fustat)",Craftsmen and workshops associated with the Old Kingdom (c. 2686–2181 BC),
541,Bronze chariot fittings (New Kingdom),Artifact / Object,Middle Kingdom (c. 2055–1650 BC),,,"Bronze chariot fittings (New Kingdom) is an important example of Middle Kingdom (c. 2055–1650 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Bronze chariot fittings (New Kingdom). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,"Grand Egyptian Museum (GEM, Giza)",Craftsmen and workshops associated with the Middle Kingdom (c. 2055–1650 BC),
542,Gold diadem with lotus motifs (royal regalia),Artifact / Object,New Kingdom (c. 1550–1069 BC),,,"Gold diadem with lotus motifs (royal regalia) is an important example of New Kingdom (c. 1550–1069 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Gold diadem with lotus motifs (royal regalia). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Saqqara Museum (Saqqara),Craftsmen and workshops associated with the New Kingdom (c. 1550–1069 BC),
543,Silver ritual bowls (Imported metalwork in Egypt),Artifact / Object,Old Kingdom (c. 2686–2181 BC),,,"Silver ritual bowls (Imported metalwork in Egypt) is an important example of Old Kingdom (c. 2686–2181 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Silver ritual bowls (Imported metalwork in Egypt). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Saqqara Museum (Saqqara),Craftsmen and workshops associated with the Old Kingdom (c. 2686–2181 BC),
544,Bronze statue of Ptah (small cult image),Artifact / Object,Late Period (c. 664–332 BC),,,"Bronze statue of Ptah (small cult image) is an important example of Late Period (c. 664–332 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Bronze statue of Ptah (small cult image). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Luxor Museum (Luxor),Craftsmen and workshops associated with the Late Period (c. 664–332 BC),
545,Hieratic ostraca with school exercises (New Kingdom),Artifact / Object,New Kingdom (c. 1550–1069 BC),,,"Hieratic ostraca with school exercises (New Kingdom) is an important example of New Kingdom (c. 1550–1069 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Hieratic ostraca with school exercises (New Kingdom). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Saqqara Museum (Saqqara),Craftsmen and workshops associated with the New Kingdom (c. 1550–1069 BC),
546,Calcite (alabaster) cosmetic vessel sets,Artifact / Object,Late Period (c. 664–332 BC),,,"Calcite (alabaster) cosmetic vessel sets is an important example of Late Period (c. 664–332 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Calcite (alabaster) cosmetic vessel sets. Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Minya Museum (Minya),Craftsmen and workshops associated with the Late Period (c. 664–332 BC),
547,Stone palette from Predynastic burial,Artifact / Object,New Kingdom (c. 1550–1069 BC),,,"Stone palette from Predynastic burial is an important example of New Kingdom (c. 1550–1069 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Stone palette from Predynastic burial. Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,"Grand Egyptian Museum (GEM, Giza)",Craftsmen and workshops associated with the New Kingdom (c. 1550–1069 BC),
548,Predynastic pottery jar with incised decoration,Artifact / Object,Old Kingdom (c. 2686–2181 BC),,,"Predynastic pottery jar with incised decoration is an important example of Old Kingdom (c. 2686–2181 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Predynastic pottery jar with incised decoration. Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Nubian Museum (Aswan),Craftsmen and workshops associated with the Old Kingdom (c. 2686–2181 BC),
549,Ritual libation vessel (ceremonial),Artifact / Object,Middle Kingdom (c. 2055–1650 BC),,,"Ritual libation vessel (ceremonial) is an important example of Middle Kingdom (c. 2055–1650 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Ritual libation vessel (ceremonial). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,"Aswan Museum (Elephantine Island, Aswan)",Craftsmen and workshops associated with the Middle Kingdom (c. 2055–1650 BC),
550,Bronze votive statuette of Bes (domestic deity),Artifact / Object,Late Period (c. 664–332 BC),,,"Bronze votive statuette of Bes (domestic deity) is an important example of Late Period (c. 664–332 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Bronze votive statuette of Bes (domestic deity). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,"Egyptian Museum (Tahrir, Cairo)",Craftsmen and workshops associated with the Late Period (c. 664–332 BC),
551,Wooden funerary figurine (Middle Kingdom),Artifact / Object,Predynastic period (c. 6000–3100 BC),,,"Wooden funerary figurine (Middle Kingdom) is an important example of Predynastic period (c. 6000–3100 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Wooden funerary figurine (Middle Kingdom). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Saqqara Museum (Saqqara),Craftsmen and workshops associated with the Predynastic period (c. 6000–3100 BC),
552,Inscribed statue of Senusret III (granite fragment),Artifact / Object,Middle Kingdom (c. 2055–1650 BC),,,"Inscribed statue of Senusret III (granite fragment) is an important example of Middle Kingdom (c. 2055–1650 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Inscribed statue of Senusret III (granite fragment). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Cairo Museum of Antiquities (legacy collections),Craftsmen and workshops associated with the Middle Kingdom (c. 2055–1650 BC),
553,Block statue of a priest (Middle Kingdom),Artifact / Object,Late Period (c. 664–332 BC),,,"Block statue of a priest (Middle Kingdom) is an important example of Late Period (c. 664–332 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Block statue of a priest (Middle Kingdom). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Nubian Museum (Aswan),Craftsmen and workshops associated with the Late Period (c. 664–332 BC),
554,Statue of Mentuhotep II (reconstructed fragment),Artifact / Object,Late Period (c. 664–332 BC),,,"Statue of Mentuhotep II (reconstructed fragment) is an important example of Late Period (c. 664–332 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Statue of Mentuhotep II (reconstructed fragment). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,"Aswan Museum (Elephantine Island, Aswan)",Craftsmen and workshops associated with the Late Period (c. 664–332 BC),
555,Quartzite head of an early dynasty ruler,Artifact / Object,Late Period (c. 664–332 BC),,,"Quartzite head of an early dynasty ruler is an important example of Late Period (c. 664–332 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Quartzite head of an early dynasty ruler. Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Nubian Museum (Aswan),Craftsmen and workshops associated with the Late Period (c. 664–332 BC),
556,Bronze bell and votive set from temple deposit,Artifact / Object,Predynastic period (c. 6000–3100 BC),,,"Bronze bell and votive set from temple deposit is an important example of Predynastic period (c. 6000–3100 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Bronze bell and votive set from temple deposit. Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,Cairo Museum of Antiquities (legacy collections),Craftsmen and workshops associated with the Predynastic period (c. 6000–3100 BC),
557,Bronze and gold jewelry hoard (elite burial),Artifact / Object,Late Period (c. 664–332 BC),,,"Bronze and gold jewelry hoard (elite burial) is an important example of Late Period (c. 664–332 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Bronze and gold jewelry hoard (elite burial). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,"Egyptian Museum (Tahrir, Cairo)",Craftsmen and workshops associated with the Late Period (c. 664–332 BC),
558,Ptah-Sokar-Osiris composite coffin model (Middle Kingdom type),Artifact / Object,Middle Kingdom (c. 2055–1650 BC),,,"Ptah-Sokar-Osiris composite coffin model (Middle Kingdom type) is an important example of Middle Kingdom (c. 2055–1650 BC) material culture and is part of museum collections that preserve Egypt's ancient heritage. The object illustrates typical technologies, artistic styles and ritual functions of its period: materials, manufacturing techniques and decorative programs reflect the social status and intended use. Archaeological context—whether from royal tombs, temple deposits or domestic assemblages—helps scholars reconstruct production, trade and funerary practices connected to Ptah-Sokar-Osiris composite coffin model (Middle Kingdom type). Conservation and museum interpretation of this artifact contribute to public understanding of ancient Egyptian religion, economy and daily life, while ongoing research revisits provenance and iconographic readings.",,"Egyptian Museum (Tahrir, Cairo)",Craftsmen and workshops associated with the Middle Kingdom (c. 2055–1650 BC),
